City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,beecher,43.09,-83.6944,272.21,88,100,8.75,US,1675744669
214,nanortalik,60.1432,-45.2371,256.63,86,100,4.94,GL,1675744438
215,veracruz,19.3333,-96.6667,291.92,92,80,0.73,MX,1675744463
216,coruripe,-10.1256,-36.1756,298.09,74,93,4.09,BR,1675744732
217,aleksandrov gay,50.147,48.5704,261.03,90,76,5.65,RU,1675744733
218,constitucion,-35.3333,-72.4167,289.15,69,0,3.59,CL,1675744533
219,salalah,17.0151,54.0924,294.2,78,20,1.03,OM,1675744733
220,takoradi,4.8845,-1.7554,298.47,89,53,2.23,GH,1675744733
221,atbasar,51.8,68.3333,258.65,96,84,2.39,KZ,1675744734
222,show low,34.2542,-110.0298,271.53,65,20,2.57,US,1675744734
223,gigant,46.5066,41.3419,267.61,88,100,7.53,RU,1675744734
224,guider,9.9342,13.9486,295.97,21,95,3.46,CM,1675744735
225,port hedland,-20.3167,118.5667,310.18,39,66,4.63,AU,1675744735
226,atkarsk,51.8718,45.0078,257.21,95,16,3.14,RU,1675744736
227,tiksi,71.6872,128.8694,240.32,100,100,1.3,RU,1675744736
228,ust-kut,56.7938,105.7672,261.57,86,100,2.21,RU,1675744736
229,tumbagaan,5.3656,120.3139,300.47,76,61,2.95,PH,1675744737
230,pisco,-13.7,-76.2167,296.18,94,20,2.57,PE,1675744737
231,cayenne,4.9333,-52.3333,297.17,94,100,1.03,GF,1675744737
232,dajal,29.5577,70.3762,292.5,37,0,1.08,PK,1675744738
233,viedma,-40.8135,-62.9967,292.34,65,3,5.41,AR,1675744738
234,shache,38.4167,77.2406,271.88,44,99,1.35,CN,1675744739
235,rocha,-34.4833,-54.3333,292.35,98,6,0.95,UY,1675744646
236,karachi,24.9056,67.0822,294.05,43,5,2.06,PK,1675744505
237,roma,43.2128,-75.4557,267.57,86,0,0.0,US,1675744641
238,thompson,55.7435,-97.8558,252.24,77,0,2.57,CA,1675744739
239,ahipara,-35.1667,173.1667,294.32,67,11,4.47,NZ,1675744492
240,gamba,-2.65,10.0,298.46,87,87,2.42,GA,1675744740
241,severnyy,50.677,36.5532,263.17,85,75,4.02,RU,1675744740
242,presidencia roque saenz pena,-26.7852,-60.4388,299.98,33,84,1.68,AR,1675744741
243,morada nova,-5.1067,-38.3725,296.35,93,47,1.41,BR,1675744741
244,mango,27.9797,-82.3065,291.4,72,0,2.06,US,1675744743
245,dahra,36.2546,0.8519,278.81,89,41,2.37,DZ,1675744749
246,mount gambier,-37.8333,140.7667,294.58,50,12,5.05,AU,1675744751
247,lebu,-37.6167,-73.65,287.16,86,0,7.91,CL,1675744752
248,severo-kurilsk,50.6789,156.125,270.13,60,96,6.77,RU,1675744754
249,rongcheng,30.634,117.8517,283.53,89,100,1.64,CN,1675744755
250,touros,-5.1989,-35.4608,299.59,72,47,5.33,BR,1675744756
251,glace bay,46.1969,-59.957,270.36,76,100,11.32,CA,1675744757
252,trat,12.5,102.5,305.32,56,97,2.89,TH,1675744757
253,saskylakh,71.9167,114.0833,234.6,100,100,0.93,RU,1675744758
254,klaksvik,62.2266,-6.589,279.66,64,18,14.1,FO,1675744760
255,san cristobal,7.7669,-72.225,295.25,77,60,0.85,VE,1675744558
256,luebo,-5.35,21.4167,293.53,90,99,0.55,CD,1675744764
257,hokitika,-42.7167,170.9667,291.05,78,36,4.65,NZ,1675744765
258,saint-augustin,51.226,-58.6502,246.77,88,6,2.08,CA,1675744767
259,abyek,36.0667,50.55,275.93,64,96,5.73,IR,1675744771
260,yerbogachen,61.2767,108.0108,248.73,96,90,0.99,RU,1675744771
261,tongliao,43.6125,122.2653,270.15,26,100,3.07,CN,1675744772
262,bonfim,3.0833,-59.95,298.46,74,100,4.12,BR,1675744774
263,la ronge,55.1001,-105.2842,258.29,85,40,0.51,CA,1675744775
264,ancud,-41.8697,-73.8203,283.72,91,0,1.24,CL,1675744777
265,torbay,47.6666,-52.7314,271.25,94,100,7.15,CA,1675744554
266,cururupu,-1.8283,-44.8683,296.35,97,100,1.13,BR,1675744778
267,airai,-8.9266,125.4092,296.08,59,66,2.09,TL,1675744779
268,san jeronimo,-11.9472,-75.2829,282.71,81,96,1.25,PE,1675744780
269,sorland,67.667,12.6934,281.07,89,100,21.43,NO,1675744780
270,yulara,-25.2406,130.9889,308.77,13,0,2.89,AU,1675744781
271,marsa matruh,31.3525,27.2453,281.26,87,75,6.17,EG,1675744781
272,cockburn town,21.4612,-71.1419,298.68,76,2,6.54,TC,1675744781
273,ewa beach,21.3156,-158.0072,299.12,66,0,4.12,US,1675744782
274,dzhebariki-khaya,62.2167,135.8,239.11,92,100,0.17,RU,1675744783
275,alghero,40.5589,8.3181,280.2,81,20,3.6,IT,1675744783
276,soe,-9.8607,124.284,299.17,69,67,1.74,ID,1675744784
277,solnechnyy,50.7214,136.6319,257.56,83,98,1.45,RU,1675744785
278,geraldton,-28.7667,114.6,300.38,54,0,6.69,AU,1675744786
279,butaritari,3.0707,172.7902,300.59,81,98,9.94,KI,1675744786
280,cherskiy,68.75,161.3,235.5,100,100,1.7,RU,1675744787
281,pokhara,28.2333,83.9833,290.44,51,69,2.28,NP,1675744787
282,krasnoselkup,65.7,82.4667,256.9,96,100,2.68,RU,1675744787
283,tautira,-17.7333,-149.15,299.9,75,27,5.4,PF,1675744788
284,dandong,40.1292,124.3947,276.53,22,3,4.07,CN,1675744788
285,bukachacha,52.9833,116.9167,261.44,64,17,1.5,RU,1675744789
286,buchanan,5.8808,-10.0467,298.31,90,95,2.17,LR,1675744789
287,namibe,-15.1961,12.1522,294.04,80,98,1.49,AO,1675744790
288,pascagoula,30.3658,-88.5561,289.18,86,0,2.06,US,1675744653
289,trofors,65.5333,13.4063,280.08,99,100,7.09,NO,1675744790
290,labuhan,-6.8844,112.2051,301.63,76,100,4.27,ID,1675744790
291,karwar,14.8,74.1333,300.87,43,78,1.4,IN,1675744791
292,coquimbo,-29.9533,-71.3436,291.0,88,100,2.57,CL,1675744791
293,maldonado,-34.6667,-54.9167,294.81,97,6,1.75,UY,1675744646
294,haines junction,60.7522,-137.5108,266.12,68,99,1.03,CA,1675744792
295,marsh harbour,26.5412,-77.0636,294.45,63,4,6.03,BS,1675744792
296,progreso,21.2833,-89.6667,296.21,82,0,5.08,MX,1675744793
297,georgetown,5.4112,100.3354,303.11,74,20,3.09,MY,1675744557
298,petropavlovka,50.6114,105.3196,261.26,85,34,1.57,RU,1675744793
